Input_FID,Join_Count,TARGET_FID,NAME,ADDRESS,CITY,ZIP,DISTRICT,DIST_NO,TYPE,PHONE,WEBSITE,PRS_ID,GRADE,Area_Acres,Rel_Size,Urban_Desig,pointid,PctImpSurface,Imp_Rank,ORIG_FID,Shape_Length,Shape_Area
41,631,41,Carter Lake Elementary School,3420 LINCOLN BLVD SW,JBLM MCCHORD FIELD,98433,CLOVER PARK,400,ELEM,(253) 583-5210,https://carterlake.cloverpark.k12.wa.us/,0,K-6,2.654197088854973,Average,Urban,48411,48.596245,Middle,41,28056.19896700603,42884455.16995218
137,297,137,James Sales Elementary School,1301 113TH ST S,TACOMA,98444,FRANKLIN PIERCE,402,ELEM,(253) 298-4200,https://jamessales.fpschools.org/,0,K-8,1.2294162455006497,Average,Urban,39322,69.6431,Most Impervious,137,16074.279004172611,13242247.84934569
142,138,142,Gravelly Lake K-12 Academy,5504 112th St SW,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5545,https://glacademy.cloverpark.k12.wa.us/,0,K-12,0.5843542079875277,Small,Urban,38629,63.194244,Most Impervious,142,8991.37448898651,4063275.673633421
59,454,59,Lakeview Hope Academy,10501 47TH AVE SW,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5320,https://lakeview.cloverpark.k12.wa.us/,0,K-6,1.9150563174467645,Average,Urban,35335,67.72174,Most Impervious,59,13130.605453262779,10759103.544919144
50,465,50,Tyee Park Elementary School,11920 SEMINOLE RD SW,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5380,https://tyeepark.cloverpark.k12.wa.us/,0,K-6,1.956365526299708,Average,Urban,41208,40.64331,Middle,50,16397.888050368998,14733454.166983051
60,294,60,Christensen Elementary School,10232 BARNES LN S,TACOMA,98444,FRANKLIN PIERCE,402,ELEM,(253) 298-3300,https://christensen.fpschools.org/,0,K-6,1.216977298579227,Average,Urban,34731,42.85,Middle,60,12091.285130966844,7645672.424930301
71,224,71,Fern Hill Elementary School,8442 S PARK AVE,TACOMA,98444,TACOMA,010,ELEM,(253) 571-3888,https://fh.tacomaschools.org/,0,K-5,0.9609449326049748,Small,Urban,29519,71.38326,Most Impervious,71,8328.869035265552,3548159.3363457536
93,256,93,Sheridan Elementary,5317 MCKINLEY AVE,TACOMA,98404,TACOMA,010,ELEM,(253) 571-5900,https://sheridan.tacomaschools.org/,0,K-5,1.064063092955138,Average,Urban,22050,60.446156,Most Impervious,93,7583.320039043596,3753841.845444459
81,470,81,Oakbrook Elementary School,7802 83RD AVE SW,LAKEWOOD,98498,CLOVER PARK,400,ELEM,(253) 583-5330,https://oakbrook.cloverpark.k12.wa.us/,0,K-6,2.0085566513485196,Average,Urban,26694,41.81497,Middle,81,21213.49548565226,21723039.506988775
135,486,135,Minter Creek Elementary School,12617 118TH AVE NW,GIG HARBOR,98329,PENINSULA,401,ELEM,(253) 530-4300,https://mes.psd401.net/,0,K-6,2.0471024081612277,Average,Urban,1380,37.6653,Least Impervious,135,40420.70625267671,99479768.30280276
109,588,109,Evergreen Elementary School - Lakebay,1632 KEY PENINSULA HWY S,LAKEBAY,98349,PENINSULA,401,ELEM,(253) 530-1300,https://ees.psd401.net/,0,K-6,2.494358338238111,Average,Non-Urban,13758,48.29032,Middle,109,78585.2359981407,289508533.78541535
130,672,130,Voyager Elementary School,10615 KOPACHUCK DR NW,GIG HARBOR,98335,PENINSULA,401,ELEM,(253) 530-4800,https://vge.psd401.net/,0,K-6,2.807853174437075,Average,Urban,4553,26.147493,Least Impervious,130,42771.753144265494,114429373.13932554
128,518,128,Artondale Elementary School,6219 40TH ST NW,GIG HARBOR,98335,PENINSULA,401,ELEM,(253) 530-1100,https://aes.psd401.net/,0,K-6,2.1809352081928073,Average,Urban,6160,50.191204,Middle,128,38932.196580604876,86184922.52860232
131,551,131,Discovery Elementary School,4905 ROSEDALE ST NW,GIG HARBOR,98335,PENINSULA,401,ELEM,(253) 530-1200,https://des.psd401.net/,0,K-6,2.325534402778399,Average,Urban,3998,49.14234,Middle,131,25989.419940669286,34343208.245182715
125,598,125,Point Defiance Elementary,4330 N VISSCHER ST,TACOMA,98407,TACOMA,010,ELEM,(253) 571-6900,https://pd.tacomaschools.org/,0,K-5,2.527583158802056,Average,Urban,7483,50.782177,Middle,125,25405.71863423539,40535107.204787575
134,706,134,Swift Water Elementary School,10811 HARBOR HILL DR,GIG HARBOR,98332,PENINSULA, ,ELEM,(253) 530-4901,https://swe.psd401.net/,0,K-8,2.9089480323580204,Large,Urban,1867,37.62606,Least Impervious,134,35969.18754506422,62281554.94060872
133,692,133,Vaughn Elementary School,17521 HALL RD NW,VAUGHN,98394,PENINSULA,401,ELEM,(253) 530-4700,https://ves.psd401.net/,0,K-6,2.942714768488864,Large,Non-Urban,2573,30.968481,Least Impervious,133,105994.22986929309,188819239.56735444
68,193,68,Four Heroes Elementary School,9101 LAKEWOOD DR SW,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5340,https://fourheroes.cloverpark.k12.wa.us/,0,6-8,0.8149887892693034,Small,Urban,31942,77.85204,Most Impervious,68,11544.78864618084,8691013.41257496
87,186,87,Manitou Park Elementary,4330 S 66TH ST,TACOMA,98409,TACOMA,010,ELEM,(253) 571-5300,https://mp.tacomaschools.org/,0,K-5,0.7896388259696191,Small,Urban,24113,69.68783,Most Impervious,87,14547.772801628545,13244346.289483352
114,1179,114,Hunt Middle School,6501 S 10TH ST,TACOMA,98465,TACOMA,010,ELEM,(253) 571-2403,https://hunt.tacomaschools.org/,0,K-5,4.96934677614345,Large,Urban,10880,64.02872,Most Impervious,114,10717.054587895967,6625537.519734292
121,301,121,Bryant Montessori PK-8,2301 N MILDRED ST,TACOMA,98406,TACOMA,010,ELEM,(253) 571-2800,https://bryant.tacomaschools.org/,0,PRE-8,1.2497850340740797,Average,Urban,8718,58.220142,Most Impervious,121,14101.14541968105,11684621.886972472
62,367,62,Saltar's Point Elementary,908 3RD ST,STEILACOOM,98388,STEILACOOM,001,ELEM,(253) 983-2600,https://sp.steilacoom.k12.wa.us/,0,K-6,1.5461582826509122,Average,Urban,34078,46.05615,Middle,62,39481.034465603516,87555979.98159023
112,240,112,DeLong Elementary School,4901 S 14TH ST,TACOMA,98405,TACOMA,010,ELEM,(253) 571-5800,https://delong.tacomaschools.org/,0,K-5,1.001278007277936,Small,Urban,12558,65.183334,Most Impervious,112,11239.779697402637,7615176.354350629
117,241,117,Jefferson Elementary School,4302 N 13TH ST,TACOMA,98406,TACOMA,010,ELEM,(253) 571-4000,https://jefferson.tacomaschools.org/,0,K-5,1.020479089356927,Small,Urban,10308,67.70731,Most Impervious,117,8553.900720219477,4725458.529842652
115,351,115,Geiger Montessori School,7401 S 8TH ST,TACOMA,98465,TACOMA,010,ELEM,(253) 571-6800,https://geiger.tacomaschools.org/,0,K-5,1.4514155423018418,Average,Urban,10726,80.231636,Most Impervious,115,28948.85395279172,50772927.51380726
124,168,124,Sherman Elementary School,4415 N 38TH ST,TACOMA,98407,TACOMA,010,ELEM,(253) 571-5488,https://sherman.tacomaschools.org/,0,K-5,0.716811665170176,Small,Urban,8089,67.60119,Most Impervious,124,19739.27127576121,22989820.719278652
120,635,120,Skyline Elementary School,6301 N 23RD STREET,TACOMA,98406,TACOMA,010,ELEM,(253) 571-7800,https://skyline.tacomaschools.org/,0,K-5,2.6784297708631986,Average,Urban,8732,65.42768,Most Impervious,120,7907.919530023173,3061286.2108451286
132,721,132,Pioneer Elementary School,8502 SKANSIE AVE NW,GIG HARBOR,98332,PENINSULA,401,ELEM,(253) 530-3500,https://pie.psd401.net/,0,K-6,3.0615976325667886,Large,Urban,3274,36.143055,Least Impervious,132,21352.556674701667,23260075.357751366
127,398,127,Harbor Heights Elementary School,4002 36TH ST NW,GIG HARBOR,98335,PENINSULA,401,ELEM,(253) 530-1800,https://hhe.psd401.net/,0,K-6,1.718570624653998,Average,Urban,6687,38.57598,Middle,127,33240.52878744765,52715712.61434754
84,291,84,Arlington Elementary School,7202 S PINE ST,TACOMA,98409,TACOMA,010,ELEM,(253) 571-3202,https://arlington.tacomaschools.org/,0,K-5,1.1893312872464354,Average,Urban,25841,63.959045,Most Impervious,84,11444.683839865203,8335252.55697778
102,350,102,Jennie Reed Elementary,1802 S 36TH ST,TACOMA,98418,TACOMA,010,ELEM,(253) 571-6400,https://reed.tacomaschools.org/,0,K-5,1.4683256125648918,Average,Urban,18177,59.82906,Most Impervious,102,12572.87761385966,10703296.708741084
78,405,78,Dower Elementary School,7817 JOHN DOWER RD W,LAKEWOOD,98499,CLOVER PARK,400,ELEM,(253) 583-5240,https://dower.cloverpark.k12.wa.us/,0,K-6,1.7093122688524913,Average,Urban,27116,33.221687,Least Impervious,78,14198.472037070704,11804318.330058374
67,501,67,Stafford Elementary,"1615 S 92ND ST
",TACOMA,98444,TACOMA,010,ELEM,(253) 571-4300,https://stafford.tacomaschools.org/,0,K-5,2.1055689630147416,Average,Urban,32035,56.123505,Middle,67,11075.65705512997,8307077.868356416
80,420,80,Birney Elementary School,7627 S SHERIDAN AVE,TACOMA,98408,TACOMA,010,ELEM,(253) 571-4600,https://birney.tacomaschools.org/,0,K-5,1.7445264121853472,Average,Urban,26806,70.65238,Most Impervious,80,10015.254906105301,6519472.671950896
94,152,94,Mann Elementary School,1002 S 52ND ST,TACOMA,98408,TACOMA,010,ELEM,(253) 571-6300,https://mann.tacomaschools.org/,0,K-5,0.6635447238819873,Small,Urban,21994,74.733765,Most Impervious,94,9882.790678486366,6565473.542425533
104,230,104,Whittier Elementary,777 ELMTREE LN,FIRCREST,98466,TACOMA,010,ELEM,(253) 571-7500,https://whittier.tacomaschools.org/,0,K-5,0.9685952250752172,Small,Urban,17704,58.320515,Most Impervious,104,23259.189215150724,33029125.56276719
92,498,92,Edison Elementary School,5830 S PINE ST,TACOMA,98409,TACOMA,010,ELEM,(253) 571-1700,https://edison.tacomaschools.org/,0,K-5,2.0743355341133167,Average,Urban,22406,70.45908,Most Impervious,92,12798.242134681355,10352449.771016046
98,173,98,Whitman Elementary School,1120 S 39TH ST,TACOMA,98418,TACOMA,010,ELEM,(253) 571-7272,https://whitman.tacomaschools.org/,0,K-5,0.7327006603525236,Small,Urban,19821,82.005684,Most Impervious,98,9830.263820480568,5273435.462819237
139,125,139,Bryant Montessori PK-8,717 S GRANT AVE,TACOMA,98405,TACOMA,010,ELEM,(253) 571-2800,https://bryant.tacomaschools.org/,0,PRE-8,0.524454126977331,Small,Urban,11034,58.220142,Most Impervious,139,14571.415117994957,10201681.954348126
99,415,99,Blix Elementary School,1302 E 38TH ST,TACOMA,98404,TACOMA,010,ELEM,(253) 571-7522,https://blix.tacomaschools.org/,0,K-5,1.7401951653444643,Average,Urban,19422,58.842857,Most Impervious,99,10324.881555705715,6279574.369458107
116,169,116,Grant Center for the Expressive Arts,2510 N 11TH ST,TACOMA,98406,TACOMA,010,ELEM,(253) 571-5400,https://grant.tacomaschools.org/,0,K-6,0.7079836016038936,Small,Urban,10557,75.63372,Most Impervious,116,7143.808645140201,3244304.7916145534
108,146,108,Stanley Elementary School,1712 S 17TH ST,TACOMA,98405,TACOMA,010,ELEM,(253) 571-4500,https://stanley.tacomaschools.org/,0,K-5,0.5964287847344262,Small,Urban,14877,71.4726,Most Impervious,108,9116.103895277507,4793113.976886689
111,427,111,Franklin Elementary School,1402 S LAWRENCE ST,TACOMA,98405,TACOMA,010,ELEM,(253) 571-1400,https://franklin.tacomaschools.org/,0,K-5,1.862435622283286,Average,Urban,12829,50.344906,Middle,111,10961.125404976503,7680895.678065522
144,36,144,North Tacoma Cooperative Preschool,2710 N MADISON ST,TACOMA,98407,TACOMA,010,ELEM,(253) 209-8317,https://northtacomacoop.org/,0,PK,0.15366146839536654,Small,Urban,8632,67.30556,Most Impervious,144,11690.961675441993,5370689.344515977
129,925,129,Browns Point Elementary School,1526 51ST ST NE,TACOMA,98422,TACOMA,010,ELEM,(253) 571-7600,https://bp.tacomaschools.org/,0,K-5,3.863517469222899,Large,Urban,5231,58.3972,Most Impervious,129,25995.59713950178,42392063.9105329
119,465,119,Downing Elementary School,5130 N 26TH ST,TACOMA,98406,TACOMA,010,ELEM,(253) 571-7100,https://downing.tacomaschools.org/,0,K-5,1.9578029518543065,Average,Urban,8896,64.20513,Most Impervious,119,8846.43161261683,4904991.141933797
122,90,122,Washington Elementary School,2615 N ADAMS ST,TACOMA,98407,TACOMA,010,ELEM,(253) 571-5700,https://washington.tacomaschools.org/,0,K-5,0.3854493086539957,Small,Urban,8668,79.347824,Most Impervious,122,6830.171909746587,2565986.716163902
7,498,7,Rocky Ridge Elementary School,6514 260TH ST E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-5000,https://rre.bethelsd.org/,0,K-6,2.063222961158953,Average,Urban,67873,35.12326,Least Impervious,7,41910.00140971452,98780771.49422657
18,434,18,Camas Prairie Elementary School,320 176TH ST E,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-7400,https://cpe.bethelsd.org/,0,K-6,1.8098790685902733,Average,Urban,60412,54.365295,Middle,18,31993.728241200683,60344594.062444404
6,456,6,Kapowsin Elementary,10412 264TH ST E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-8600,https://kes.bethelsd.org/,0,K-6,1.9018936877427948,Average,Non-Urban,68375,53.726086,Middle,6,62901.52692353695,248905020.93204957
10,857,10,North Star Elementary School,7719 224TH ST E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-8800,https://nse.bethelsd.org/,0,K-6,3.5730260250232115,Large,Urban,65441,33.314022,Least Impervious,10,17008.934920245396,18912509.33194698
9,915,9,Nelson Elementary,22109 108TH AVE E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-6400,https://nes.bethelsd.org/,0,PRE-6,3.796879411862183,Large,Urban,65697,33.925083,Least Impervious,9,34642.3691883826,58372340.27044421
13,688,13,Pioneer Valley Elementary School,7315 EUSTIS HUNT RD,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-8900,https://pve.bethelsd.org/,0,PRE-6,2.836861422295814,Large,Urban,63145,46.62536,Middle,13,15755.757090406223,15894284.381106861
8,639,8,Centennial Elementary School,24323 MATHIAS RD E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-7700,https://ces.bethelsd.org/,0,K-6,2.682207151160149,Average,Urban,67228,33.69861,Least Impervious,8,32952.16429075464,42226938.556964785
11,387,11,Shining Mountain Elementary School,21615 38TH AVE E,SPANAWAY,98387,BETHEL,403,ELEM,(253) 800-5200,https://sme.bethelsd.org/,0,PRE-6,1.6323439525664833,Average,Urban,65046,57.108585,Middle,11,35648.14621919366,71134812.50395116
16,731,16,Carson Elementary School,8615 184TH ST E,PUYALLUP,98375,PUYALLUP,003,ELEM,(253) 840-8808,https://car.puyallup.k12.wa.us/,0,K-6,3.0324531834157904,Large,Urban,61346,52.715458,Middle,16,11501.810237894253,8567239.233769521
141,558,141,Expedition Elementary,18717 108TH AVE CT E,PUYALLUP,98374,BETHEL,403,ELEM,(253) 800-2400,https://exs.bethelsd.org/,0,K-5,2.3039798972403975,Average,Urban,62450,66.329765,Most Impervious,141,20878.394495611214,24981408.90708905
30,462,30,Pope Elementary School,15102 122ND AVE E,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 435-2850,https://pop.puyallup.k12.wa.us/,0,K-6,1.96182579058421,Average,Urban,53167,57.173447,Most Impervious,30,11963.142878408577,8239707.959250634
26,616,26,Katherine G Johnson Elementary School,16720 WALLER ROAD E,TACOMA,98446,BETHEL,010,ELEM,(253)-800-3000,https://kgj.bethelsd.org/,0,K-6,2.595243051103305,Average,Urban,56693,50.966183,Middle,26,12884.763019011538,6567592.864472953
24,436,24,Clover Creek Elementary School,16715 36TH AVE E,TACOMA,98446,BETHEL,403,ELEM,(253) 800-7800,https://cce.bethelsd.org/,0,PRE-6,1.8273588011297899,Average,Urban,57455,58.902493,Most Impervious,24,17750.049609462145,17985353.67132756
21,485,21,Brouillet Elementary School,17207 94TH AVE E,PUYALLUP,98375,PUYALLUP,003,ELEM,(253) 841-8670,https://bro.puyallup.k12.wa.us/,0,K-6,2.059801764772368,Average,Urban,59298,46.632652,Middle,21,13516.27793781972,12997596.330681164
20,468,20,Frederickson Elementary,17218 74TH AVE E,PUYALLUP,98375,BETHEL,403,ELEM,(253) 800-6300,https://fes.bethelsd.org/,0,PRE-6,1.9521261842966442,Average,Urban,59304,50.892857,Middle,20,17473.768788717247,19192024.735423647
32,1122,32,Naches Trail Elementary School,15305 WALLER RD E,TACOMA,98446,BETHEL,403,ELEM,(253) 800-8700,https://nte.bethelsd.org/,0,K-6,4.695448457041116,Large,Urban,53032,42.24205,Middle,32,16881.184212385357,17734114.341073684
29,452,29,Thompson Elementary,303 159TH ST E,TACOMA,98445,BETHEL,403,ELEM,(253) 800-5800,https://tes.bethelsd.org/,0,PRE-6,1.8855220598415583,Average,Urban,55434,56.330395,Middle,29,9920.162480733134,6508015.659963351
12,1197,12,Graham Elementary School,10026 204TH ST E,GRAHAM,98338,BETHEL,403,ELEM,(253) 800-8500,https://ges.bethelsd.org/,0,K-6,4.987293806123482,Large,Urban,63550,22.67247,Least Impervious,12,13019.372377147476,10540770.176289244
36,722,36,Hunt Elementary School,12801 144TH ST E,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 840-8690,https://hun.puyallup.k12.wa.us/,0,K-6,3.0153287007465224,Large,Urban,51043,35.8107,Least Impervious,36,14735.553076116888,12140878.128827833
25,583,25,Edgerton Elementary School,16528 127TH AVE CT E,PUYALLUP,98374,PUYALLUP,003,ELEM,(253) 840-8809,https://edg.puyallup.k12.wa.us/,0,K-6,2.46034122898442,Average,Urban,56799,52.493267,Middle,25,18196.05820911032,19449649.001553033
35,681,35,Tehaleh Heights Elementary School,17520 BERKELEY PKWY E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-6544,https://www.sumnersd.org/the,0,K-6,2.853734370529936,Large,Urban,51116,56.922516,Middle,35,19771.61823902212,23141961.936298586
40,482,40,Firgrove Elementary School,13918 MERIDIAN AVE E,PUYALLUP,98373,PUYALLUP,003,ELEM,(253) 841-8733,https://fir.puyallup.k12.wa.us/,0,K-6,2.0028417729291053,Average,Urban,49027,60.865307,Most Impervious,40,13861.460364640996,11819320.109898632
14,133,14,Carbonado Historical School 19,301 OFERRELL DR,CARBONADO,98323,CARBONADO,019,ELEM,(360) 829-0121,https://www.carbonado.k12.wa.us/,0,K-8,0.550278335572562,Small,Non-Urban,63012,46.156715,Middle,14,189642.6776289678,1551038543.247181
51,659,51,Victor Falls Elementary School,11401 188TH AVE CT E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-4700,https://www.sumnersd.org/vfe,0,K-6,2.760006185672365,Average,Urban,41185,35.27994,Least Impervious,51,20917.97846627127,26830727.807258718
39,671,39,Donald Eismann Elementary School,13802 CANYON VIEW BLVD E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-4500,https://www.sumnersd.org/dee,0,K-6,2.8179163758581818,Average,Urban,49180,67.15282,Most Impervious,39,25993.385592724648,35041427.36019658
1,697,1,Columbia Crest A-STEM Academy,24503 SR 706 E,ASHFORD,98304,EATONVILLE,404,ELEM,(360) 641-1700,https://www.eatonville.wednet.edu/cca,0,K-6,2.9313823697796786,Large,Non-Urban,71420,8.255944,Least Impervious,1,221426.147173904,1622150513.0439208
19,328,19,Orting Primary School,316 WASHINGTON AVE N,ORTING,98360,ORTING,344,ELEM,(360) 893-2248,https://www.ortingschools.org/Domain/8,0,K-6,1.3829476944508412,Average,Non-Urban,59393,73.42342,Most Impervious,19,45420.137480051315,123964348.54156263
47,492,47,Liberty Ridge Elementary School,12202 209TH AVE CT E,BONNEY LAKE,98391,SUMNER,320,ELEM,(253) 891-4800,https://www.sumnersd.org/lre,0,K-6,2.0651007669548194,Average,Urban,42956,48.47485,Middle,47,26911.227462925985,36169984.48005021
17,306,17,Wilkeson Elementary School,640 RAILROAD AVE,WILKESON,98396,WHITE RIVER,416,ELEM,(360) 829-3357,https://wilkeson.whiteriver.wednet.edu/,0,K-6,1.2787557224472181,Average,Non-Urban,60767,35.093246,Least Impervious,17,180211.88145817473,797976182.3779275
2,865,2,Eatonville Elementary School,209 LYNCH CREEK RD E,EATONVILLE,98328,EATONVILLE,404,ELEM,(360) 879-1600,https://www.eatonville.wednet.edu/ees,0,K-6,3.571929637152024,Large,Non-Urban,70547,28.485682,Least Impervious,2,131008.46012837529,611618765.7326871
49,572,49,Mountain Meadow Elementary School,11812 MUNDY LOSS RD E,BUCKLEY,98321,WHITE RIVER,416,ELEM,(360) 829-6047,https://mm.whiteriver.wednet.edu/,0,K-6,2.45151917482389,Average,Non-Urban,42324,40.03125,Middle,49,33430.066232740435,56698153.9749012
53,483,53,Woodland Elementary School,7707 112TH ST E,PUYALLUP,98373,PUYALLUP,003,ELEM,(253) 841-8747,https://woo.puyallup.k12.wa.us/,0,K-6,2.0304085983445903,Average,Urban,39961,47.22086,Middle,53,17746.044404895525,18682123.285930388
